2014,2,0,0,2,0,7500.0,1,0.0,12,0,1,0,0,750,0,0,0,0,0,31,1,0,1,39,0,3,0,0,2,7500.0,0,0,0,2600,1,9,0,1,1,0,0,31,4,0
2013,1,0,0,0,0,10500.0,1,0.0,10,0,2,0,0,750,0,0,0,1,1,9,1,0,0,117,0,1,0,0,2,10500.0,0,1,0,3000,1,9,1,0,0,0,0,47,3,0
2019,1,0,0,1,0,46500.0,1,25000.0,11,0,2,0,1,750,0,0,0,1,1,20,1,0,0,158,0,1,0,0,2,21500.0,1,0,0,3000,1,12,1,0,0,0,0,52,1,0
2017,2,0,0,0,1,19000.0,0,0.0,7,0,1,1,0,750,0,0,0,0,0,9,0,0,0,47,1,0,0,1,1,19000.0,1,0,0,3000,0,8,1,0,0,0,0,29,3,0
2015,5,0,0,0,1,8500.0,0,0.0,12,0,6,1,0,750,0,0,0,0,0,22,0,0,0,5,1,0,0,0,1,8500.0,1,0,0,3000,1,7,0,1,0,0,0,19,1,0
2014,1,0,0,2,0,8500.0,1,0.0,10,0,3,0,0,750,0,0,0,0,0,3,1,0,0,146,0,0,0,0,2,8500.0,1,0,0,3000,1,9,0,1,1,0,0,65,3,0
2020,3,0,0,1,0,18000.0,1,0.0,11,0,5,0,0,750,1,0,0,0,1,16,1,0,0,7,0,2,1,1,4,18000.0,1,0,0,3000,0,1,1,0,1,0,0,26,4,0
2018,1,0,0,0,0,14000.0,1,0.0,1,0,3,0,0,750,0,0,0,1,0,24,1,0,0,40,0,1,0,1,1,14000.0,1,0,0,3000,0,8,0,1,0,0,0,45,3,0
2016,1,0,0,0,0,37000.0,1,10000.0,5,0,4,0,3,750,0,0,0,1,2,31,1,0,0,139,0,1,0,1,2,27000.0,0,0,0,2550,0,11,0,0,0,1,1,63,3,0
2017,1,0,0,0,0,16500.0,1,0.0,8,0,1,0,0,750,0,0,0,0,0,13,1,0,0,113,0,0,0,1,2,16500.0,1,0,0,3000,0,16,0,1,1,0,0,49,3,0
2009,1,0,0,0,0,5500.0,1,0.0,2,0,0,0,0,750,0,0,0,0,0,11,1,0,1,80,0,1,0,1,2,5500.0,0,0,0,3000,0,21,1,0,1,0,0,31,0,0
2010,1,0,1,2,0,32000.0,1,14500.0,6,0,2,0,1,750,0,0,0,0,2,12,1,0,0,95,0,0,1,1,3,17500.0,1,0,0,3000,0,5,1,0,0,0,0,50,4,0
2017,2,1,0,0,0,8000.0,1,0.0,1,0,0,0,0,750,0,0,0,0,0,14,1,0,0,55,0,1,0,1,1,8000.0,0,0,0,3000,0,8,0,1,1,0,0,54,1,0
2016,2,0,0,0,1,10000.0,0,0.0,9,0,4,1,0,750,0,0,0,0,0,27,0,0,0,12,1,1,0,1,1,10000.0,1,0,0,3000,0,17,0,1,0,0,0,46,3,0
2015,1,0,0,2,0,32500.0,1,0.0,5,0,2,0,0,750,0,0,0,1,2,15,1,0,0,13,0,0,1,1,4,32500.0,1,0,0,3000,0,12,1,0,0,0,0,74,1,0
2018,1,1,0,0,0,20500.0,1,0.0,12,0,4,0,0,750,0,0,0,0,1,6,1,0,0,169,0,3,0,1,2,20500.0,0,0,0,3000,0,4,1,0,1,0,0,67,3,0
2009,1,0,1,1,0,3000.0,0,0.0,6,0,1,0,0,750,0,0,1,0,0,4,1,0,0,72,0,0,0,1,2,3000.0,1,0,0,3000,0,5,0,1,0,0,0,42,3,0
2018,1,0,1,2,0,60000.0,0,25000.0,9,0,5,0,1,750,7,0,1,0,2,7,1,0,0,153,0,1,1,1,3,35000.0,0,1,0,3000,0,19,1,0,0,0,0,65,3,0
2017,1,0,0,1,1,19500.0,0,0.0,1,0,1,1,0,750,0,0,0,0,0,29,0,0,0,82,1,0,0,0,1,19500.0,1,0,0,3000,1,13,1,0,0,0,0,62,3,0
